,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
0,0,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,January,39
1,1,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,February,134
2,2,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,March,69
3,3,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,April,9
4,4,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,May,93
5,5,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,June,108
6,6,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,July,50
7,7,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,August,11
8,8,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,September,61
9,9,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,October,35
10,10,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Novermber,49
11,11,15126,26600,1064,0,753,41,5,206,858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,December,95
12,12,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,January,18
13,13,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,February,12
14,14,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,March,21
15,15,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,April,8
16,16,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,May,54
17,17,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,June,4
18,18,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,July,40
19,19,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,August,8
20,20,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,September,4
21,21,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,October,11
22,22,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Novermber,28
23,23,15127,3339,477,0,241,18,5,91,386,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,December,33
24,24,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,66
25,25,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,43
26,26,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,64
27,27,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,21
28,28,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,26
29,29,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,64
30,30,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,39
31,31,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,10
32,32,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,11
33,33,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,11
34,34,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,36
35,35,15002,6680,167,0,422,21,5,107,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,31
36,36,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,5
37,37,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,24
38,38,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,26
39,39,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,0
40,40,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,0
41,41,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,5
42,42,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,22
43,43,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,23
44,44,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,-11
45,45,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,4
46,46,150022,3720,93,0,108,10,5,48,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,10
