code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,January_normalized,February_normalized,March_normalized,April_normalized,May_normalized,June_normalized,July_normalized,August_normalized,September_normalized,October_normalized,Novermber_normalized,December_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized
15126,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.3865503080082135,0.168103448275862,0.6602870813397129,0.3517587939698492,0.0803571428571428,0.5027027027027027,0.5901639344262295,0.1104294478527607,0.044280442804428,0.3157894736842105,0.2259887005649717,0.216,0.4679802955665024,0.2,0.0,0.1678832116788321,0.5719636169074371
15127,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.1237166324435318,0.0775862068965517,0.0765550239234449,0.1105527638190954,0.0758928571428571,0.2918918918918919,0.0218579234972677,0.0899795501022494,0.033210332103321,0.0657894736842105,0.0903954802259887,0.132,0.1625615763546798,0.0878048780487804,0.0,0.0746147607461476,0.319422150882825
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.2844827586206896,0.2248803827751196,0.3266331658291457,0.1339285714285714,0.1405405405405405,0.3497267759562841,0.0879345603271983,0.040590405904059,0.0964912280701754,0.0903954802259887,0.164,0.1527093596059113,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.021551724137931,0.1339712918660287,0.135678391959799,0.0401785714285714,0.0,0.0273224043715847,0.0531697341513292,0.088560885608856,0.0,0.0508474576271186,0.06,0.0,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.021551724137931,0.1770334928229665,0.050251256281407,0.0535714285714285,0.0756756756756756,0.2240437158469945,0.0715746421267893,0.084870848708487,0.0657894736842105,0.03954802259887,0.02,0.0246305418719211,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.1206896551724138,0.569377990430622,0.1457286432160804,0.1473214285714285,0.0486486486486486,0.3825136612021858,0.081799591002045,0.040590405904059,0.0789473684210526,0.1016949152542373,0.072,0.0295566502463054,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0,0.0191387559808612,0.0050251256281407,0.1294642857142857,0.0,0.0,0.0306748466257668,0.077490774907749,0.0482456140350877,0.0282485875706214,0.02,0.0049261083743842,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.125,0.0669856459330143,0.1306532663316583,0.1875,0.0054054054054054,0.0327868852459016,0.0306748466257668,0.003690036900369,0.0482456140350877,0.0282485875706214,0.024,0.0,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597
15004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3032227032227032,0.4099722991689751,0.25,0.6786447638603696,0.2370689655172413,0.4114832535885167,0.864321608040201,0.7544642857142857,0.254054054054054,0.7814207650273224,0.4417177914110429,0.3062730627306273,0.7192982456140351,0.5536723163841808,0.364,0.1871921182266009,0.6097560975609756,1.0,0.6098945660989457,0.2059925093632958
15006,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0969696969696969,0.0581717451523545,0.05,0.0708418891170431,0.0301724137931034,0.0574162679425837,0.0201005025125628,0.1696428571428571,0.1459459459459459,0.0054644808743169,0.0102249488752556,0.014760147601476,0.1929824561403508,0.0621468926553672,0.084,0.0197044334975369,0.0585365853658536,0.0,0.048661800486618,0.1583734617442482
150044,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1114638447971781,0.1338873499538319,0.1,0.1319301848049281,0.3793103448275862,0.0191387559808612,0.135678391959799,0.0401785714285714,0.0054054054054054,0.1147540983606557,0.1063394683026584,0.066420664206642,0.2280701754385964,0.0564971751412429,0.06,0.0,0.1170731707317073,0.0,0.0989456609894566,0.2225789192081327
15005,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0306557639890973,0.0175438596491228,0.3,0.1801848049281314,0.0172413793103448,0.2870813397129186,0.1959798994974874,0.0446428571428571,0.0594594594594594,0.2404371584699453,0.0674846625766871,0.1180811808118081,0.1622807017543859,0.4463276836158192,0.168,0.0,0.1902439024390244,0.0,0.1605839416058394,0.2958801498127341
150055,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1765592432259098,0.1375807940904893,0.0,0.0379876796714579,0.043103448275862,0.0239234449760765,0.0402010050251256,0.1383928571428571,0.0054054054054054,0.0054644808743169,0.0531697341513292,0.022140221402214,0.0570175438596491,0.03954802259887,0.024,0.0,0.0292682926829268,0.0,0.0267639902676399,0.1653290529695024
150066,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1798621131954465,0.1089566020313942,0.0,0.0333675564681724,0.1508620689655172,0.0956937799043062,0.0050251256281407,0.0401785714285714,0.0054054054054054,0.0,0.0081799591002045,0.003690036900369,0.0526315789473684,0.0508474576271186,0.052,0.0,0.0146341463414634,0.0,0.0113544201135442,0.1589085072231139
15306,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0403078403078403,0.1043397968605724,0.0,0.0215605749486652,0.0344827586206896,0.124401913875598,0.0,0.0491071428571428,0.0216216216216216,0.0437158469945355,0.0102249488752556,0.003690036900369,0.0482456140350877,0.0169491525423728,0.02,0.0,0.0,0.0,0.0,0.1637239165329053
15303,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1264710598043931,0.4773776546629732,0.15,0.473305954825462,0.3060344827586206,0.6076555023923444,0.2763819095477386,0.4285714285714285,0.4756756756756757,0.7595628415300546,0.1922290388548057,0.2509225092250922,0.543859649122807,0.1694915254237288,0.208,0.0886699507389162,0.3317073170731707,1.0,0.3333333333333333,0.3204922418405564
15304,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.097418630751964,0.3379501385041551,0.0,0.1925051334702258,0.0991379310344827,0.2105263157894736,0.135678391959799,0.0714285714285714,0.3297297297297297,0.2349726775956284,0.0552147239263803,0.03690036900369,0.219298245614035,0.1525423728813559,0.196,0.1871921182266009,0.1317073170731707,0.0,0.1119221411192214,0.2252541466024612
15307,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0404040404040404,0.1052631578947368,0.0,0.0369609856262833,0.1120689655172413,0.0430622009569378,0.0351758793969849,0.0401785714285714,0.0,0.0163934426229508,0.0347648261758691,0.003690036900369,0.0482456140350877,0.0282485875706214,0.084,0.0147783251231527,0.0292682926829268,0.0,0.024330900243309,0.1482075976457998
15305,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0871893538560205,0.2465373961218836,0.35,0.1925051334702258,0.1551724137931034,0.3636363636363636,0.0653266331658291,0.1473214285714285,0.2594594594594595,0.1639344262295081,0.0858895705521472,0.029520295202952,0.3070175438596491,0.03954802259887,0.068,0.1724137931034483,0.1170731707317073,0.0,0.0965125709651257,0.5569823434991974
15308,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0507936507936507,0.1523545706371191,0.0,0.0118069815195071,0.0043103448275862,0.0191387559808612,0.0100502512562814,0.0803571428571428,0.0216216216216216,0.0273224043715847,0.0102249488752556,0.011070110701107,0.0482456140350877,0.0282485875706214,0.02,0.0,0.0048780487804878,0.0,0.0032441200324412,0.189406099518459
15302,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4181497514830848,0.2280701754385964,0.0,0.2869609856262833,0.2155172413793103,0.3732057416267942,0.2311557788944723,0.2276785714285714,0.2216216216216216,0.3989071038251366,0.0695296523517382,0.055350553505535,0.2807017543859649,0.1638418079096045,0.3,0.2118226600985221,0.1853658536585365,0.0,0.1557177615571776,0.1326912787586945
15301,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9093153759820426,0.494921514312096,0.84,0.6309034907597536,0.5172413793103449,1.0,0.2211055276381909,0.2455357142857142,0.8486486486486486,0.8579234972677595,0.2883435582822086,0.2841328413284132,0.7324561403508771,0.1977401129943503,0.22,0.2561576354679803,0.4390243902439024,1.0,0.437956204379562,1.0
