,code_p,Inventory value,Inventory,Total orders,total 23,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w
0,15126,,,0.0,753.0,39,134,69,9,93,108,50,11,61,35,49,95,41,5.0,206.0,858.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,15127,,477.0,0.0,241.0,18,12,21,8,54,4,40,8,4,11,28,33,18,5.0,91.0,386.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2,15002,,167.0,0.0,422.0,66,43,64,21,26,64,39,10,11,11,36,31,21,5.0,107.0,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,150022,,93.0,0.0,108.0,5,24,26,0,0,5,22,23,-11,4,10,0,10,5.0,48.0,45.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,150011,,206.0,0.0,169.0,5,33,9,3,14,41,31,22,4,2,0,5,12,5.0,59.0,147.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,15001,,218.0,100.0,359.0,28,115,28,24,9,70,36,10,7,13,13,6,16,5.0,79.0,239.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,150033,,454.0,0.0,52.0,0,0,0,20,0,0,11,20,0,0,0,1,6,5.0,31.0,423.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7,15003,,362.0,0.0,116.0,29,10,25,33,1,6,11,0,0,0,1,0,2,5.0,12.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,15004,,425.0,500.0,,55,82,171,160,47,143,212,82,153,93,86,38,125,6.0,751.0,174.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,15006,,44.0,100.0,138.0,7,8,3,29,27,1,1,3,33,6,16,4,12,5.0,59.0,85.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,150044,,126.0,200.0,257.0,88,0,26,0,1,21,48,17,41,5,10,0,24,5.0,121.0,205.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,15005,0.0,0.0,600.0,351.0,4,56,38,1,11,44,29,31,26,74,37,0,39,5.0,197.0,342.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,150055,,130.0,0.0,74.0,10,1,7,22,1,1,22,5,2,2,1,0,6,5.0,32.0,98.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13,150066,,99.0,0.0,65.0,35,16,0,0,1,0,0,0,1,4,8,0,3,5.0,13.0,86.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,15306,301.0,94.0,0.0,42.0,8,22,-1,2,4,8,1,0,0,-2,0,0,0,5.0,-1.0,95.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,15303,,498.0,300.0,922.0,71,123,54,87,88,139,90,67,113,25,47,18,68,6.0,410.0,388.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
