name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,January_normalized,February_normalized,March_normalized,April_normalized,May_normalized,June_normalized,July_normalized,August_normalized,September_normalized,October_normalized,Novermber_normalized,December_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.883629950296617,1.0,0.0,0.38655030800821355,0.16810344827586207,0.6602870813397129,0.35175879396984927,0.08035714285714286,0.5027027027027027,0.5901639344262295,0.11042944785276074,0.04428044280442804,0.3157894736842105,0.22598870056497175,0.216,0.46798029556650245,0.2,0.0,0.1678832116788321,0.5719636169074371
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.1377264710598044,0.4579870729455217,0.0,0.12371663244353183,0.07758620689655173,0.07655502392344497,0.11055276381909548,0.07589285714285714,0.2918918918918919,0.02185792349726776,0.08997955010224949,0.033210332103321034,0.06578947368421052,0.0903954802259887,0.132,0.1625615763546798,0.08780487804878048,0.0,0.0746147607461476,0.31942215088282505
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.17174515235457063,0.0,0.2166324435318275,0.28448275862068967,0.22488038277511962,0.32663316582914576,0.13392857142857142,0.14054054054054055,0.34972677595628415,0.08793456032719836,0.04059040590405904,0.09649122807017543,0.0903954802259887,0.164,0.15270935960591134,0.1024390243902439,0.0,0.08759124087591241,0.14499732477260568
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.10341643582640812,0.0,0.055441478439425054,0.021551724137931036,0.1339712918660287,0.135678391959799,0.04017857142857143,0.0,0.0273224043715847,0.053169734151329244,0.08856088560885608,0.0,0.05084745762711865,0.06,0.0,0.04878048780487805,0.0,0.039740470397404706,0.1369716425896201
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.19294532627865962,0.2077562326869806,0.0,0.08675564681724846,0.021551724137931036,0.17703349282296652,0.05025125628140704,0.05357142857142857,0.07567567567567568,0.22404371584699453,0.07157464212678936,0.08487084870848709,0.06578947368421052,0.03954802259887006,0.02,0.024630541871921183,0.05853658536585366,0.0,0.04866180048661801,0.19154628143392188
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.20262946929613596,0.2188365650969529,0.05,0.18429158110882957,0.1206896551724138,0.569377990430622,0.1457286432160804,0.14732142857142858,0.04864864864864865,0.3825136612021858,0.081799591002045,0.04059040590405904,0.07894736842105263,0.1016949152542373,0.072,0.029556650246305417,0.07804878048780488,0.0,0.064882400648824,0.24077046548956663
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.43674976915974145,0.0,0.026694045174537988,0.0,0.019138755980861243,0.005025125628140704,0.12946428571428573,0.0,0.0,0.03067484662576687,0.07749077490774908,0.04824561403508772,0.02824858757062147,0.02,0.0049261083743842365,0.02926829268292683,0.0,0.025952960259529603,0.3392188336008561
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.059548254620123205,0.125,0.06698564593301436,0.1306532663316583,0.1875,0.005405405405405406,0.03278688524590164,0.03067484662576687,0.0036900369003690036,0.04824561403508772,0.02824858757062147,0.024,0.0,0.00975609756097561,0.0,0.010543390105433901,0.3001605136436597
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3032227032227032,0.4099722991689751,0.25,0.6786447638603696,0.23706896551724138,0.41148325358851673,0.864321608040201,0.7544642857142857,0.25405405405405407,0.7814207650273224,0.44171779141104295,0.3062730627306273,0.7192982456140351,0.5536723163841808,0.364,0.18719211822660098,0.6097560975609756,1.0,0.6098945660989457,0.20599250936329588
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.09696969696969697,0.05817174515235457,0.05,0.07084188911704312,0.03017241379310345,0.05741626794258373,0.020100502512562814,0.16964285714285715,0.14594594594594595,0.00546448087431694,0.010224948875255624,0.014760147601476014,0.19298245614035087,0.062146892655367235,0.084,0.019704433497536946,0.05853658536585366,0.0,0.04866180048661801,0.15837346174424827
