code_p,name_p,color_p,Inventory value,Inventory,Total orders,total 23,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r
15126,PATENT,w,nan,nan,0.0,753.0,39,134,69,9,93,108,50,11,61,35,49,95,41,5.0,206.0,858.0
15127,PATENT,b,nan,477.0,0.0,241.0,18,12,21,8,54,4,40,8,4,11,28,33,18,5.0,91.0,386.0
15002,BRI,w,nan,167.0,0.0,422.0,66,43,64,21,26,64,39,10,11,11,36,31,21,5.0,107.0,60.0
150022,BRI,b,nan,93.0,0.0,108.0,5,24,26,0,0,5,22,23,-11,4,10,0,10,5.0,48.0,45.0
150011,BRI,b,nan,206.0,0.0,169.0,5,33,9,3,14,41,31,22,4,2,0,5,12,5.0,59.0,147.0
15001,BRI,w,nan,218.0,100.0,359.0,28,115,28,24,9,70,36,10,7,13,13,6,16,5.0,79.0,239.0
150033,BRI,b,nan,454.0,0.0,52.0,0,0,0,20,0,0,11,20,0,0,0,1,6,5.0,31.0,423.0
15003,BRI,w,nan,362.0,0.0,116.0,29,10,25,33,1,6,11,0,0,0,1,0,2,5.0,12.0,350.0
15004,BRIS,w,nan,425.0,500.0,nan,55,82,171,160,47,143,212,82,153,93,86,38,125,6.0,751.0,174.0
15006,BRIS,w,nan,44.0,100.0,138.0,7,8,3,29,27,1,1,3,33,6,16,4,12,5.0,59.0,85.0
150044,BRIS,b,nan,126.0,200.0,257.0,88,0,26,0,1,21,48,17,41,5,10,0,24,5.0,121.0,205.0
15005,BRIS,w,0.0,0.0,600.0,351.0,4,56,38,1,11,44,29,31,26,74,37,0,39,5.0,197.0,342.0
150055,BRIS,b,nan,130.0,0.0,74.0,10,1,7,22,1,1,22,5,2,2,1,0,6,5.0,32.0,98.0
150066,BRIS,b,nan,99.0,0.0,65.0,35,16,0,0,1,0,0,0,1,4,8,0,3,5.0,13.0,86.0
15306,Cob magnet,w,301.0,94.0,0.0,42.0,8,22,-1,2,4,8,1,0,0,-2,0,0,0,5.0,-1.0,95.0
15303,Cob magnet,W,nan,498.0,300.0,922.0,71,123,54,87,88,139,90,67,113,25,47,18,68,6.0,410.0,388.0
15304,Cob magnet,b,nan,347.0,0.0,375.0,23,40,26,7,61,43,23,9,39,22,44,38,27,5.0,137.0,210.0
15307,Cob magnet,b,304.0,95.0,0.0,72.0,26,5,6,0,0,3,13,0,0,0,16,3,6,5.0,29.0,66.0
15305,Cob magnet,G,nan,248.0,700.0,375.0,36,72,12,24,48,30,38,7,59,2,12,35,24,5.0,118.0,830.0
15308,Cob magnet,g,628.0,146.0,0.0,23.0,1,0,1,9,4,5,1,2,0,0,0,0,1,5.0,3.0,143.0
15302,COB TUBE,b,nan,228.0,0.0,559.0,50,74,45,42,41,73,30,14,53,24,70,43,38,5.0,191.0,37.0
15301,COB TUBE,W,nan,517.0,nan,nan,120,205,43,46,157,157,137,76,156,30,50,52,90,6.0,539.0,nan
15450,COSTA,W,nan,83.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,4,4,1,5.0,4.0,79.0
15452,COSTA,WG,nan,87.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,3,4,1,5.0,3.0,84.0
15453,COSTA,W,nan,77.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,2,8,0,5.0,2.0,85.0
15455,COSTA,WG,nan,79.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,2,8,0,5.0,2.0,87.0
15456,COSTA,W,nan,70.0,20.0,4.0,0,0,0,0,0,0,0,0,0,0,2,2,0,5.0,2.0,88.0
15458,COSTA,WG,nan,25.0,66.0,6.0,0,0,0,0,0,0,0,0,0,0,2,4,0,5.0,2.0,89.0
15451,COSTA,B,nan,91.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.0,0.0,91.0
15454,COSTA,B,nan,84.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0.0,94.0
15457,COSTA,B,nan,77.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,97.0
15084,Deep SMD,b,-956.0,-19.0,200.0,920.0,228,84,0,50,104,5,103,81,66,74,3,87,65,6.0,392.0,-211.0
15087,Deep SMD,b,nan,190.0,0.0,496.0,84,42,75,1,47,54,38,27,69,34,11,14,36,5.0,179.0,11.0
15080,Deep SMD,w,108.0,3.0,nan,nan,166,76,198,27,178,4,175,240,126,172,16,203,146,6.0,875.0,76.0
15081,Deep SMD,b,nan,255.0,300.0,857.0,138,57,71,17,101,49,60,149,61,90,12,52,74,6.0,446.0,109.0
15086,Deep SMD,w,nan,243.0,300.0,773.0,48,53,114,69,38,58,79,137,57,19,69,32,72,6.0,433.0,110.0
15083,Deep SMD,w,nan,72.0,nan,nan,145,105,33,48,168,89,102,270,87,55,-5,113,102,6.0,611.0,421.0
15088,Deep SMD,g,nan,52.0,0.0,53.0,5,5,5,1,1,6,2,8,7,0,11,2,6,5.0,28.0,24.0
15085,Deep SMD,g,nan,108.0,0.0,100.0,5,36,-1,0,6,14,1,18,11,0,0,10,6,5.0,30.0,78.0
15082,Deep SMD,g,nan,332.0,0.0,60.0,11,8,16,0,4,4,1,0,12,-3,3,4,3,5.0,13.0,319.0
15907,JIMI,B,nan,107.0,0.0,121.0,11,20,9,4,15,12,6,11,20,6,0,7,9,5.0,43.0,64.0
15906,JIMI,W,nan,207.0,0.0,35.0,0,0,0,0,0,2,18,4,2,0,9,0,7,5.0,33.0,174.0
15915,JIMI,B,nan,32.0,0.0,11.0,2,2,2,0,0,0,-1,0,4,0,2,0,1,5.0,5.0,27.0
15916,JIMI,G,nan,23.0,0.0,17.0,0,0,0,0,0,15,1,0,0,1,0,0,0,5.0,2.0,21.0
15908,JIMI,G,nan,278.0,0.0,53.0,3,0,6,0,9,13,6,8,3,2,3,0,4,5.0,22.0,256.0
