,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
12,64,64,64,64,64,64,64,64,64,64,64,64
23,64,64,64,64,64,64,64,64,64,64,64,64
33,64,64,64,64,64,64,64,64,64,64,64,64
76,64,64,64,64,64,64,64,64,64,64,64,64
121,64,64,64,64,64,64,64,64,64,64,64,64
123,64,64,64,64,64,64,64,64,64,64,64,64
765,64,64,64,64,64,64,64,64,64,64,64,64
876,64,64,64,64,64,64,64,64,64,64,64,64
934,64,64,64,64,64,64,64,64,64,64,64,64
993,64,64,64,64,64,64,64,64,64,64,64,64
9124,64,64,64,64,64,64,64,64,64,64,64,64
9134,64,64,64,64,64,64,64,64,64,64,64,64
